Parking Lot Asset ID,Park Name,Parking Spaces,Handicap Parking Spaces,GIS Coordinate,Access
32288,EAST TORONTO ATHLETIC FIELD,111,3,"(-79.2985368670806,43.6853550539149)",Public
32531,EAST YORK COMMUNITY CENTRE - Building Grounds,53,2,"(-79.3493993262094,43.6921435016445)",Public
32578,EAST YORK CURLING CLUB - Building Grounds,68,2,"(-79.3127652453124,43.6966767635383)",Public
32289,EDGELEY PARK,70,2,"(-79.5182373639874,43.7655288633371)",Public
32290,EDITHVALE PARK,99,2,"(-79.4259894205255,43.7765344891315)",Public
32291,EDWARDS GARDENS,428,8,"(-79.3573324116119,43.7336942233314)",Public
32292,EGLINTON FLATS,165,2,"(-79.5046564463948,43.686106304276)",Public
32293,EGLINTON FLATS,150,2,"(-79.4951661242173,43.6847776553899)",Public
32294,EGLINTON PARK,,1,"(-79.4039084226439,43.7059649849856)",Public
49513,EGLINTON PARK,125,2,"(-79.4045446896689,43.7075179252914)",Public
32295,ELLESMERE PARK,93,4,"(-79.2984538530697,43.7606924637903)",Public
32296,ELM PARK - NORTH YORK,118,8,"(-79.5237708786471,43.7702692780065)",Public
32560,EMERY PARKS YARD,85,1,"(-79.54585772626,43.7532668521659)",Staff
32297,ESTHER LORRIE PARK,30,1,"(-79.5791596377573,43.7272666215213)",Public
32298,ETIENNE BRULE PARK,97,3,"(-79.4909608318637,43.6522598736489)",Public
32299,ETOBICOKE VALLEY PARK,30,0,"(-79.5572494596131,43.6049511299191)",
32550,FAIRBANK MEMORIAL PARK,24,1,"(-79.4482219509727,43.6926365750364)",Public
32300,FAIRBANK MEMORIAL PARK,40,2,"(-79.4477661727546,43.6907087544283)",Public
32301,FALSTAFF PARK,38,2,"(-79.5035298121554,43.7165603392886)",Public
32302,FENSIDE PARK,60,3,"(-79.3266366629944,43.7639965220014)",Public
32303,FERGY BROWN PARK,84,2,"(-79.4969778018522,43.6876010722776)",Public
49520,FINCH - HUMBERLINE SPORTSFIELDS,,,"(-79.6177210175333,43.7330823637425)",Private
32304,FLAGSTAFF PARK,30,2,"(-79.591397077123,43.7208774606312)",Public
32306,FLEMINGDON PARK,54,1,"(-79.334641204082,43.713232616719)",Public
32305,FLEMINGDON PARK,42,1,"(-79.3263143150335,43.7138123373881)",Public
32546,FLEMINGDON PARK,70,1,"(-79.3322460591309,43.7172095671848)",Public
32307,FOUNTAINHEAD PARK,25,2,"(-79.4996970238316,43.7618003747887)",Public
32552,FRANKLIN HORNER COMMUNITY CENTRE - Building Grounds,72,6,"(-79.5381956130173,43.6040374349817)",
